name,city,state,sales20,sales19,sales18,meals20,meals19,meals18,x,y
Carmine's (Times Square),New York,NY,39080335,36889370,35155786,469803,437566,430773,-73.935242,40.730610
The Boathouse Orlando,Orlando,FL,35218364,35499910,33030849,820819,831375,790174,-81.519249,28.370970
The Hamilton,Washington,DC,23138062,21898952,23048871,700861,639759,782486,-77.0369,38.9072
Gibson's Bar and Steakhouse,Chicago,IL,25409952,25167986,25414213,348567,350495,357897,-87.6298,41.8781
Prime 112,Miami Beach,FL,23800000,23600000,23400000,206000,204100,202000,-80.1300,25.7907
Bazaar Meat by Jose Andres,Las Vegas,NV,22181607,20827800,20300000,190000,189500,194000,-115.1398,36.1699
Angus Barn,Raleigh,NC,24268160,22787000,21659790,315000,313910,313910,-78.6382,35.7796
Bottega Louie,Los Angeles,CA,18521000,19316031,20729140,322562,384843,408663,-118.2437,34.0522
St. Elmo Steak House,Indianapolis,IN,21422141,19969050,19472840,192774,220000,239725,-86.1581,39.7684
Taste of Texas,Houston,TX,19530159,18678593,16222119,375241,369819,363650,-95.3698,29.7604
Chops Lobster Bar,Atlanta,GA,17816450,17264000,16300000,168000,166000,196000,-84.3880,33.7490
Harris Ranch Inn and Restaurant,Coalinga,CA,17599468,17349238,16502654,611928,530000,593803,-120.3601,36.1397
Frankenmuth Bavarian Inn,Frankenmuth,MI,17388751,16979767,14979373,899284,919390,848141,-83.7380,43.3317
Abe and Louie's,Boston,MA,17063477,18312207,18398313,160762,174130,223000,-71.0589,42.3601
Southern Steak and Oyster,Nashville,TN,12566618,12832681,14576128,337920,361756,352813,-86.7816,36.1627